,kcat_MW
B_UPPDC1,74.29659015
A_DMATT,13.433002900000002
B_PSCVT,1640.0626519999998
B_3HBZCT,494.3353141
B_FRULYSE_reverse,106.32315690000001
C_RNDR4b_num2,713.3183045
B_GND,11363.349409999999
B_PGSA181,471.8219922
A_PAPA181,670.7865188999999
C_APG3PAT120,440.9002539
B_NTD11pp_num2,154.6535139
B_FEOXAMR3,1916.598655
B_PGPP140pp_num2,327.6573977
C_URIK1,797.5797044
A_PSSA140,352.73197410000006
C_NTPP5_num2,350.09795
B_ACACT3r_num1,760.6663689
B_ACACT4r_num1,901.9147879000001
C_FACOAL140t2pp_num2,123.47427040000001
C_UM3PL,188.9012842
B_ACPS1_num2,992.9197682
A_TRPS2,64.91127519
A_PYDAMK,150.75332
C_PLIPA2G120pp,140.68471069999998
C_O16AP3pp,208.9291554
B_DDGALK,815.9192927
A_YUMPS_reverse,1185.656209
B_NTPP1_num2,480.3660636
C_GMHEPK,14711.707540000001
C_PLIPA2G160pp,140.68457949999998
A_R5PP_num1,429.4835006
B_23PDE4pp,682.0442367
C_METSOXR1_num2,244.8198398
A_CLPNS120pp_num1,573.1613961
A_ACACT5r_reverse_num2,762.9773613
C_PHDA,156.90889909999999
B_NTD10pp_num2,274.0669912
C_AGM4PA,978.7323366
C_L_LACD3_num1,585.534535
B_METAT,160.8996076
B_UPLA4FNF,23322.731069999998
B_AM4PA,1008.569676
B_PLIPA2A120pp,140.50430369999998
C_PPCDC,1.03595592
A_EAR80y,83.44140984
C_GNK_num2,1273.803729
B_MPTG2_num3,86.71948767
B_OBTFL_num3,192.0489158
A_HEX1,1369.775645
C_NTD3_num2,418.5546706
C_GMPS2,153.3763241
C_FRD3,331.1060175
B_MECDPDH5_num2,159.9955493
C_2HESR_num2,553.9208981
B_UDPGPpp,229.7999694
C_RNTR2c2_num1,124.20818529999998
C_FRULYSDG,89.99089434
A_PTAr_reverse_num2,5831.252346
B_PETNT181pp,1098.199697
B_MALTATr,561.5955888
C_GLYCLTDy_num2,884.8077366
C_ALATA_L_num1,693.7981934
C_MCITL2,300.3675207
A_DHFR_num1,667.1741208999999
B_MLTGY2pp_num5,983.670417
B_MLTGY3pp_num3,656.0905498999999
A_MDDCP2pp_num1,554.9412951
B_HACD2_num1,245.21440800000002
C_UAPGR,4089.720219
A_DXYLK,358.7064579
B_2AGPEAT180,280.4011138
B_2DDARAA_reverse_num2,74.4565735
A_DHACOAH_reverse,445.43920089999995
B_NTPP6_num1,168.70935669999997
C_UDPGD,564.9538627999999
B_ACGAMK,659.517182
A_NTD8_num3,218.85155669999997
B_LPLIPAL2A161,651.7992218999999
B_ALDD3y_num3,282.12192319999997
B_SDPTA_num2,386.76090330000005
C_GRTT,13.433002900000002
A_ACM6PH,206.772872
A_XYLI2,186.79447290000002
A_NDPK6_num2,159.3366219
B_TEO2M,678.2898428
C_CAT_num2,595.8858821
C_THRA2_num2,122.4114565
A_MALS_num1,1401.494876
A_NTD9_num1,480.1285755
C_TREHpp,666.2792871
B_R5PP_num3,324.9073298
C_NTPP3_num3,3364.2265079999997
B_GMHEPAT,3411.6570460000003
C_PGPP161pp_num2,327.6424369
C_OXCOAHDH,1012.069013
B_PUNP5_reverse_num1,55.27417245
C_NDPK1_num1,934.7031421
B_DHAPT,227.0712571
C_6D6SPA,1233.235154
B_FACOAL80t2pp_num2,287.28697630000005
A_KARA2,1303.334025
B_UAMAS,469.92174500000004
B_3OAS140_num2,176.79892080000002
C_2AGPGAT180,120.66116229999999
C_GLCATr,172.6452851
A_I2FE2SR,89.41592468
C_GTHOr,265.53504680000003
B_ACOAD7f_reverse,5164.5065700000005
B_NDPK1_num1,934.7031421
C_ECOAH7_reverse_num1,326.5923455
C_ALATA_L2_num2,248.12151780000002
B_LADGMDH,488.340253
A_ASPK_num1,3551.454153
B_FA160ACPHi,1510.0815029999999
B_MLTGY1pp_num6,786.906728
A_ALAR_num1,1466.9699679999999
B_MLDCP2App_num4,1853.587901
C_AMPNTAT,1403.876632
C_TRSARr_reverse_num2,717.8830886
C_ECOAH4_num2,261.4451097
B_HEPT4,1582.8323460000001
A_FMNRx2_num3,33.30032002
B_PGCD,407.46314010000003
A_NTPP3_num2,3092.017352
C_PGPP180pp_num1,490.41787530000005
A_OXCDC,46.58063249
C_2AGPEAT180,280.4011138
B_RNTR4c2_num4,91.26114268
C_FEENTERR4,577.9779035
A_PLIPA2E180pp,140.21657
B_ACM6PH,206.772872
A_IPDPS,44.51531364
C_CLPNS180pp_reverse_num1,179.2037536
B_TKT2_reverse_num1,1037.274745
B_MDDCP4pp_num5,271.5475951
A_BMOGDS2,473.85459019999996
A_MDDCP3pp_num3,299.35547169999995
C_DTARTD,378.0153885
A_EAR100x,119.55303529999999
B_ALDD2y_num5,605.2624308999999
A_TDPDRE,873.710559
C_PUNP4_num2,101.9636245
A_PDXPP,751.5570624
C_HACD1_num2,503.1725879
B_MDDEP1pp_num2,1003.469078
C_MDDEP4pp_num1,880.046527
A_OXDHCOAT,366.580603
B_RNDR3_num2,45.83964169
C_LPLIPAL1A160pp,3317.852195
B_PPA_num3,2565.886313
A_HACD4_num2,500.2112845
A_PGPP140pp_num2,327.6573977
C_SGSAD,530.2692072
B_CFAS160E,598.5141954
C_SERD_L_num5,559.3507162000001
B_MCITL2,300.3675207
C_MDDCP5pp_num3,1710.141604
C_PUNP1,114.0304926
A_FMNRx_num2,881.32025
C_TYRTA_num2,798.7077868
C_SDPTA_num2,386.76090330000005
C_PSP_Lpp_num1,222.444745
B_GALCTND,480.1756552
B_CLPNS140pp_num2,226.6211502
A_NTP3_num1,361.35909039999996
B_SPMDAT1,370.10155410000004
A_PPK,186.2363466
B_DHPTPE,157.6472176
B_GLBRAN2,2623.483913
A_MDDCP1pp_num3,613.0547679
C_APH141,922.7510846000001
C_NTPP4_num2,157.0923466
A_LPLIPAL2E181,238.5956461
C_THIORDXi_num3,649.444134
C_QULNS,21.65226669
C_ACACT1r_num3,791.9705958
A_FALDH2_reverse,284.6913071000001
B_ACKr_reverse_num1,4203.2019549999995
C_G1PTT_num1,79.52752913
B_HACD4_reverse_num2,409.55361380000005
C_3PEPTabcpp_num3,129.2819586
B_GLUR,2852.058252
C_UPP3S,129.5061857
C_LPLIPAL2G141,238.59551319999997
B_NADHXE_reverse,240.73398569999998
A_23PDE9pp,614.7400384
A_NAMNPP,202.81584709999998
B_SQVOSI,186.869985
A_G2PPpp_num2,266.499662
A_PAPA140pp,327.0859064
