,fluxes,reduced_costs
HEMEOS,0.0,2925838.300852309
ADMDC,0.0,45873.737857632135
AGMT,0.0,458.9374228131185
ARGDC,0.0,41183.029847948856
ARGSS,0.0295792,-4713.428144557907
AGPR,0.0,515.2069427387288
SPMS,0.0,-743.979530789009
G1SAT,0.0003568,-66634.01147714177
KDOCT2,0.0038912000000000005,-436.5605649457675
OAADC,0.0,1107.315198148834
MNNH,0.0,-196.5375476023047
ALTRH,0.0,379.0710150294709
GUI1,0.0,-151.0925039246195
PGAMT,0.0,1887.1071704694887
UAGDP,0.0094488,-611.5967951571774
UAGCVT,0.0027788,-899.6326649837519
GLUR,0.0,280.5754180491149
UAG2E,0.0,-353.400310757499
EX_acald_e,0.0,714.4383218605071
EX_melib_e,0.0,-2.0
MACPD,0.0,2965.8768688843156
DMQMT,0.0,-557.3419735635352
ICHORS_copy1,0.0,-205.999608461271
EX_sucr_e,0.0,0.0
EX_tre_e,0.0,-2.0
EX_zn2_e,0.0,2.0
HACD5_num1,0.0,27.8445118977869
DNMPPA,6.690000000000862e-05,-2.000000000078259
HPPK2,6.690000000000862e-05,-7470.159925289405
PTPATi,6.739999999999524e-05,-12862.724573238105
HEX7,0.0,-247.2505599728392
DXPRIi,0.0002389000000000024,-1739.9996285016587
OPHBDC,2.23e-05,-8353.618844257397
OHPHM,0.0,4344309.517630342
GHMT2r,0.10608779999999807,-7.996334031136939
DHORD2,0.0,-42.523336341235336
ADK4,0.0,1004.6150849799069
INSK,0.0,2143.820084348601
ABTA_num1,0.0,1890.5542016394427
SSALx,0.0,-528.9666935139173
ASPT,0.0,3464.7862828353173
SERD_L_num1,0.0,2978.6593728127905
THRD_num1,0.0,1938.8495379283231
HEX4,0.0,-1.9999999999999574
KARA1,0.0,15655.146831024784
KARA2,0.0290529,-184.56215747003995
ACCOAC,0.24133419999999992,-455.4205317544674
NADK,4.4700000000119644e-05,-11742.648542456847
ICHORS_copy2,0.0,527.4734486325298
SUCBZS,0.0,-332.5383303556591
DHBD,0.0,-1714.3608224220607
