,kcat_MW
A_IMPD,31.14040188
A_MOCOS,0.81693321
B_DURIPP_reverse_num2,62.12144485
B_WCOS,891.1402274000001
A_PRMICI,1382.881464
A_NTD7pp_num2,267.7120724
A_DHAPT,227.0712571
B_PUNP3_reverse_num1,54.76515545
A_HACD6_num1,197.7997293
A_NADHXE_reverse,240.73398569999998
B_PAPSR2_num2,391.1599332
B_NO3R1bpp,922.9342075
B_ILETA,108.66972679999999
B_ACACT7r_reverse_num2,326.0245626
B_GDPDPK_num2,508.30802869999997
A_SPMDAT1,370.10155410000004
B_ACACT3r_reverse_num1,794.3179766
A_APPLDHr_reverse,65.60859878
B_GLCTR1,463.90848739999996
A_HACD6_reverse_num2,374.78882400000003
A_NNATr,616.4383562
B_IGPDH,169.8199635
B_GHMT2r_reverse,404.2680402
A_NDPK7_reverse_num2,167.3689646
B_AAMYLpp,655.0832102999999
A_PPK2,242.6787426
B_GLCP2_num1,1416.441082
B_ECOAH6_num2,229.8793029
B_HEX1,1369.775645
B_KG6PDC_num2,925.8846682
A_CLPNS161pp_reverse_num1,249.0655069
B_INSH,1109.037708
B_RBP4E_reverse_num3,866.7049958999999
A_CRNDCAL2,345.23105960000004
B_AGPAT140,400.9837447
A_LPLIPAL2A140,238.5954332
A_MLTGY1pp_num7,543.3338683999999
B_GLXCL,392.9434877
B_CDPPH,816.2138765
B_MDDEP1pp_num1,1426.8310689999998
A_FBA3_reverse,137.5947023
B_RNTR3c2_num4,192.88428090000002
A_AMPTASEPG_num1,89.93035873
A_FCI_reverse,154.222367
A_PAPSR2_num3,387.8977095
A_METSOXR2_num2,305.1726877
A_DAGK120,458.85054110000004
A_G3PD6,198.6090695
B_ALAALAr_num2,270.04154960000005
B_GPDDA1pp,458.4540824
B_NTD2pp_num1,472.555926
B_I4FE4ST,158.22660980000003
A_CYTK2,1040.563709
A_ILETA_reverse,107.3513689
A_NTPP8_num1,156.5354118
A_3OAR181,166.2094049
A_TDPADGAT,1120.43866
B_ORPT_reverse,380.97405519999995
