,MW,kcat,kcat_MW
CTECOAI6,159.1878,24446.50672,153.5702279
MALCOAMT,28.2762,9301.412639,328.9484669
OGMEACPS,67.0302,0.2448,0.003652085
OGMEACPR,102.2412,0.1224,0.001197169
OPMEACPS,85.2266,0.0864,0.001013768
DGUNC_num1,51.7825,17685.97519,341.5434788
DGUNC_num2,38.5456,17685.97519,458.8325306
DGUNC_num3,185.8088,17685.97519,95.1837329
DGUNC_num4,67.727,17685.97519,261.1362557
DGUNC_num5,106.3554,17685.97519,166.2912761
CDGUNPD_num1,74.665,126921.3273,1699.877149
CDGUNPD_num2,180.5208,126921.3273,703.084228
CDGUNPD_num3,171.2153,126921.3273,741.296644
CDGUNPD_num4,29.6012,126921.3273,4287.708853
CDGUNPD_num5,81.4498,126921.3273,1558.276721
LDGUNPD,74.665,44519.35518,596.2546733
MPTAT,63.667,2448,38.45006047
MOADSUx,107.6949,36042.55733,334.6728334
REPHACCOAI,28.4046,19156.91578,674.4300494
ACPPAT141,46.854,36607.03398,781.3000807
ACPPAT161,46.854,40006.80572,853.8610518
ACPPAT180,46.854,9699.07613,207.006363
APG3PAT160,22.1934,18407.65507,829.4202362
APG3PAT161,22.1934,9694.949292,436.8392987
APG3PAT180,22.1934,47472.73186,2139.047278
ICYSDS,90.179,36,0.399206024
I4FE4SR,13.8486,7.2,0.51990815
S2FE2ST,183.333,9301.245664,50.7341595
BMOCOS,88.1345,72,0.81693321
BWCOS,88.1345,10232.07313,116.0961159
BWCOGDS1,21.6429,25790.66276,1191.645425
BWCOGDS2,21.6429,29065.07453,1342.938078
DHNPTE,108.9562,19512.83723,179.0888195
DHMPTR,26.3483,37100.23214,1408.069293
I2FE2SS,104.0276,9421.285561,90.56524962
I2FE2ST,60.0728,9353.641428,155.7051016
I2FE2SS2,104.0276,9497.407543,91.29699756
I4FE4ST,60.0728,9505.115485,158.2266098
S4FE4ST,183.333,45270.43078,246.9300714
S2FE2SS2,277.201,25109.73651,90.58313826
BTS5,77.2962,7.2,0.093148175
3AMACHYD,28.8981,21702.14096,750.9885065
CCGS,25.5142,18471.57179,723.9722112
CDGR,65.175,18930.24966,290.4526223
MSAR_num1,21.5704,16893.06136,783.1593925
MSAR_num2,108.9957,16893.06136,154.9883285
ACPPAT120,46.854,14929.35902,318.6357412
CPH4S,82.6373,15951.34398,193.028378
SHCHCS3,27.6824,47273.15239,1707.697035
URACPAH,25.2087,23399.76966,928.2418237
POAACR,13.7629,17716.71901,1287.280952
ACPPAT160,46.854,20129.32772,429.6181269
ACPPAT181,46.854,14737.83642,314.5480945
APH141,10.2998,9504.151621,922.7510846
APH161,10.2998,10164.79521,986.8924843
APH180,10.2998,11053.15404,1073.142589
APH181,10.2998,17581.02807,1706.929073
GTHPi,20.4696,21215.21356,1036.425409
SEPHCHCS,122.7341,24093.61572,196.3074298
DHNCOAS,189.7985,26258.64932,138.3501414
DHNCOAT,59.781,11519.68616,192.6981175
I2FE2SR,104.0276,9301.724046,89.41592468
TYRL,26.8961,21.6,0.803090411
THZPSN3,600.7306,9779.036108,16.27857164
APG3PAT120,22.1934,9785.075695,440.9002539
APH120,10.2998,12612.9599,1224.582992
MOCDS,21.5138,18106.42146,841.6189358
FORCT,91.6564,37350.27356,407.5031701
PACCOAE,131.963,22170.16111,168.0028577
OXDHCOAT,70.6812,25910.35692,366.580603
HADPCOADH3,51.7326,21560.11817,416.7607692
PYROX,59.9682,22380.99194,373.2143359
BMOGDS1,21.6429,27337.89485,1263.134555
MPTS,51.478,9753.689326,189.4729657
MOCOS,88.1345,72,0.81693321
BMOGDS2,21.6429,10255.58751,473.8545902
S2FE2SR,277.201,21311.91823,76.88254454
ACACT8r_num1,46.5305,23737.87625,510.157343
ACACT8r_num2,81.7524,23737.87625,290.3630505
CTECOAI7,159.1878,24212.59768,152.1008374
FDH4pp_num1,170.1061,32853.99749,193.1382678
FDH4pp_num2,511.2616,32853.99749,64.26063974
FDH5pp_num1,511.2616,29922.56645,58.52691939
FDH5pp_num2,170.1061,29922.56645,175.9053112
ACPPAT140,46.854,9697.481201,206.9723226
APG3PAT140,22.1934,38886.36066,1752.15878
APG3PAT141,22.1934,25623.64564,1154.56152
APG3PAT181,22.1934,9481.372614,427.2158666
APH140,10.2998,9504.202723,922.756046
APH160,10.2998,19803.85527,1922.74173
OPMEACPD,102.1977,0.0792,0.000774969
EPMEACPR,111.4558,0.108,0.000968994
AOXSr2,83.1885,3.6,0.043275212
SCYSDS,120.4682,30061.01064,249.5348203
S2FE2SS,277.201,9300.815543,33.55260458
S4FE4SR,156.7328,74931.37607,478.0835669
SELR,233.0425,13273.52372,56.95752371
OGMEACPD,102.1977,0.0792,0.000774969
EGMEACPR,111.4558,0.108,0.000968994
OPMEACPR,102.2412,0.1224,0.001197169
PMEACPE,28.505,14.4,0.505174531
MECDPDH5_num1,60.3838,9667.011089,160.0927913
MECDPDH5_num2,60.4205,9667.011089,159.9955493
RNTR1c2_num1,179.7821,49229.87641,273.8308008
