,A,B,S_value,A_c2e,T_A_value,T_B_value,B_e2c
47,47.0,53.0,69.56576910058817,1.480122746821025,69.56576910058817,69.56576910058817,1.312561681143173
48,48.0,52.0,69.55105121717285,1.448980233691101,69.55105121717285,69.55105121717285,1.3375202157148627
49,49.0,51.0,69.53633333374378,1.4191088435457913,69.53633333374378,69.53633333374378,1.3634575163479172
50,50.0,50.0,69.52161545030962,1.3904323090061925,69.52161545030962,69.52161545030962,1.3904323090061925
51,51.0,49.0,69.50689756688791,1.3628803444487825,69.50689756688791,69.50689756688791,1.4185081136099573
52,52.0,48.0,69.49217968344526,1.3363880708354858,69.49217968344526,69.49217968344526,1.4477537434051095
53,53.0,47.0,69.47746180002892,1.310895505660923,69.47746180002892,69.47746180002892,1.4782438680857217
54,54.0,46.0,69.46274391659244,1.2863471095665269,69.46274391659244,69.46274391659244,1.5100596503607053
55,55.0,45.0,69.44802603316468,1.2626913824211758,69.44802603316468,69.44802603316468,1.5432894674036597
56,56.0,44.0,69.43330814973571,1.239880502673852,69.43330814973571,69.43330814973571,1.5780297306758115
57,57.0,43.0,69.4185902663146,1.217870004672186,69.4185902663146,69.4185902663146,1.614385820146851
58,58.0,42.0,69.40387238287703,1.1966184893599487,69.40387238287703,69.40387238287703,1.6524731519732625
59,59.0,41.0,69.3891544994398,1.1760873643972847,69.3891544994398,69.3891544994398,1.692418402425361
60,60.0,40.0,69.37443661600882,1.1562406102668137,69.37443661600882,69.37443661600882,1.7343609154002206
61,61.0,39.0,69.35971873257101,1.13704456938641,69.35971873257101,69.35971873257101,1.7784543264761796
62,62.0,38.0,69.34500084914372,1.1184677556313503,69.34500084914372,69.34500084914372,1.8248684433985187
63,63.0,37.0,69.32284207119464,1.100362572558645,69.32284207119464,69.32284207119464,1.8735903262485039
64,64.0,36.0,69.29232658913685,1.0826926029552633,69.29232658913685,69.29232658913685,1.9247868496982456
65,65.0,35.0,69.26181110704732,1.0655663247238052,69.26181110704734,69.26181110704734,1.978908888772781
66,66.0,34.0,69.2312956249883,1.0489590246210347,69.2312956249883,69.2312956249883,2.0362145772055382
67,67.0,33.0,69.2007801429134,1.032847464819603,69.2007801429134,69.2007801429134,2.0969933376640424
68,68.0,32.0,69.17026466086413,1.0172097744244726,69.17026466086413,69.17026466086413,2.161570770652004
69,69.0,31.0,69.13974917878379,1.0020253504171563,69.13974917878379,69.13974917878379,2.230314489638187
70,70.0,30.0,69.1092336967069,0.9872747670958127,69.1092336967069,69.1092336967069,2.303641123223563
71,71.0,29.0,69.07871821462216,0.9729396931636923,69.07871821462216,69.07871821462216,2.3820247660214537
72,72.0,28.0,69.04820273258677,0.9590028157303719,69.04820273258677,69.04820273258677,2.4660072404495277
73,73.0,27.0,69.01768725050147,0.9454477705548145,69.01768725050147,69.01768725050147,2.5562106389074617
74,74.0,26.0,68.98717176844748,0.932259077951993,68.98717176844747,68.98717176844747,2.6533527603249025
75,75.0,25.0,68.95665628635989,0.9194220838181318,68.95665628635989,68.95665628635989,2.7582662514543954
76,76.0,24.0,68.92614080430124,0.9069229053197533,68.92614080430126,68.92614080430126,2.871922533512552
77,77.0,23.0,68.89562532224456,0.8947483808083709,68.89562532224456,68.89562532224456,2.995461970532372
78,78.0,22.0,68.86510984017548,0.8828860235919933,68.86510984017548,68.86510984017548,3.1302322654625216
79,79.0,21.0,68.83459435809502,0.8713239792163926,68.83459435809502,68.83459435809502,3.277837826575953
80,80.0,20.0,68.80407887603562,0.8600509859504453,68.80407887603562,68.80407887603562,3.440203943801781
81,81.0,19.0,68.77356339397497,0.8490563381972218,68.77356339397498,68.77356339397498,3.619661231261841
82,82.0,18.0,68.74304791190289,0.8383298525841817,68.74304791190289,68.74304791190289,3.8190582173279384
83,83.0,17.0,68.71253242980443,0.8278618365036678,68.71253242980443,68.71253242980443,4.041913672341437
84,84.0,16.0,68.68201694775938,0.8176430589018974,68.68201694775938,68.68201694775938,4.292626059234961
85,85.0,15.0,68.65150146569049,0.8076647231257705,68.65150146569049,68.65150146569049,4.576766764379366
86,86.0,14.0,68.6209859836031,0.7979184416698035,68.6209859836031,68.6209859836031,4.901498998828793
87,87.0,13.0,68.5529588430171,0.7879650441726102,68.55295884301708,68.55295884301708,5.27330452638593
88,88.0,12.0,68.47865881636962,0.7781665774587458,68.47865881636963,68.47865881636963,5.706554901364135
89,89.0,11.0,68.40427538836772,0.7685873639142439,68.40427538836771,68.40427538836771,6.2185704898516105
90,90.0,10.0,68.32989196039406,0.7592210217821563,68.32989196039406,68.32989196039406,6.8329891960394065
91,91.0,9.0,68.17113718483536,0.7491333756575315,68.17113718483536,68.17113718483536,7.574570798315039
