,A,B,obj,S_value,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
27,27.0,73.0,1.0215964041096086,74.57653750000142,0.0,252.56080005577073,200.0,0.0,2.762093981481534,74.57653750000142,74.57653750000144,1.0215964041096086
28,28.0,72.0,1.02469233624832,73.77784820987904,0.0,248.15410076503412,200.0,0.0,2.6349231503528228,73.77784820987904,73.77784820987904,1.02469233624832
29,29.0,71.0,1.0278754777430532,72.97915891975678,0.0,243.74740147429384,200.0,0.0,2.5165227213709236,72.97915891975678,72.97915891975677,1.0278754777430532
30,30.0,70.0,1.0311495661376073,72.18046962963251,0.0,239.34070218353483,200.0,0.0,2.4060156543210836,72.18046962963251,72.18046962963251,1.0311495661376073
31,31.0,69.0,1.034518555645085,71.38178033951087,0.0,234.93400289279376,200.0,0.0,2.3026380754680926,71.38178033951087,71.38178033951087,1.034518555645085
32,32.0,68.0,1.0379866330791747,70.58309104938388,0.0,230.52730360200528,200.0,0.0,2.2057215952932463,70.58309104938388,70.58309104938388,1.0379866330791747
33,33.0,67.0,1.0415582352129245,69.78440175926593,0.0,226.12060431131502,200.0,0.0,2.114678841189877,69.78440175926593,69.78440175926593,1.0415582352129245
34,34.0,66.0,1.045238067714286,68.98571246914288,0.0,221.71390502056627,200.0,0.0,2.028991543210085,68.98571246914288,68.98571246914288,1.045238067714286
35,35.0,65.0,1.049031125830987,68.18702317901416,0.0,217.30720572975522,200.0,0.0,1.9482006622575474,68.18702317901416,68.18702317901415,1.049031125830987
36,36.0,64.0,1.0529427170139374,67.38833388889199,0.0,212.9005064390215,200.0,0.0,1.8718981635803331,67.38833388889199,67.38833388889199,1.0529427170139374
37,37.0,63.0,1.0569784856947744,66.58964459877079,0.0,208.49380714829007,200.0,0.0,1.7997201242911025,66.58964459877079,66.58964459877079,1.0569784856947744
38,38.0,62.0,1.0611444404619839,65.79095530864299,0.0,204.08710785748715,200.0,0.0,1.7313409291748154,65.79095530864299,65.790955308643,1.0611444404619839
39,39.0,61.0,1.0654469839102525,64.9922660185254,0.0,199.68040856679596,200.0,0.0,1.6664683594493692,64.9922660185254,64.9922660185254,1.0654469839102525
40,40.0,60.0,1.0698929454732535,64.19357672839521,0.0,195.2737092759716,200.0,0.0,1.6048394182098804,64.19357672839521,64.19357672839521,1.0698929454732535
41,41.0,59.0,1.0744896175978904,63.39488743827553,0.0,190.8670099852646,200.0,0.0,1.5462167667872082,63.39488743827553,63.39488743827553,1.0744896175978904
42,42.0,58.0,1.0792447956578073,62.59619814815282,0.0,186.4603106945182,200.0,0.0,1.4903856701941147,62.59619814815282,62.59619814815282,1.0792447956578073
43,43.0,57.0,1.0841668220706175,61.797508858025196,0.0,182.0536114037184,200.0,0.0,1.4371513687912836,61.797508858025196,61.7975088580252,1.0841668220706175
44,44.0,56.0,1.0892646351411674,60.99881956790538,0.0,177.6469121130027,200.0,0.0,1.386336808361486,60.99881956790538,60.99881956790538,1.0892646351411674
