,S_value,A,B,obj,A_glc_out,B_glc,A_xyl,B_xyl,A_c2e,T_A_value,T_B_value,B_e2c
24,140.1857691300408,24.0,76.0,1.8445495938163263,889.3661307760423,689.3661307760423,200.0,0.0,5.841073713751712,140.18576913004108,140.18576913004108,1.8445495938163299
25,140.1751504291714,25.0,75.0,1.8690020057222851,887.8396598765843,687.8396598765843,200.0,0.0,5.607006017166896,140.1751504291724,140.1751504291724,1.8690020057222987
26,140.16453172837814,26.0,74.0,1.8941152936267316,886.313188977003,686.313188977003,200.0,0.0,5.390943528014532,140.1645317283781,140.1645317283781,1.8941152936267316
27,140.15391302750785,27.0,73.0,1.919916616815176,884.7867180775602,684.7867180775602,200.00000000001182,-1.1823431123048067e-11,5.190885667685507,140.15391302750868,140.15391302750868,1.9199166168151873
28,140.14329432668575,28.0,72.0,1.946434643426191,883.2602471780265,683.2602471780265,200.0,0.0,5.005117654524497,140.14329432668575,140.14329432668575,1.946434643426191
29,140.13267562583638,29.0,71.0,1.973699656701921,881.7337762785302,681.7337762785302,200.0,0.0,4.832161228477162,140.1326756258377,140.1326756258377,1.9736996567019394
30,140.12205692503906,30.0,70.0,2.0017436703577007,880.2073053789609,680.2073053789609,200.0,0.0,4.67073523083468,140.12205692503906,140.12205692503906,2.0017436703577007
31,140.1114382241837,31.0,69.0,2.030600553973677,878.6808344794962,678.6808344794962,200.0,0.0,4.519723813683299,140.11143822418373,140.11143822418373,2.030600553973677
32,140.1008195233574,32.0,68.0,2.060306169461138,877.1543635799686,677.1543635799686,200.0,0.0,4.378150610104967,140.1008195233574,140.1008195233574,2.060306169461138
33,140.09020082250808,33.0,67.0,2.0908985197389267,875.6278926804722,675.6278926804722,200.0,0.0,4.2451576006820915,140.0902008225081,140.0902008225081,2.0908985197389267
34,140.07958212170914,34.0,66.0,2.122417910934987,874.1014217809183,674.1014217809183,200.0,0.0,4.119987709462066,140.07958212170917,140.07958212170917,2.122417910934987
35,140.0689634208476,35.0,65.0,2.1549071295515017,872.5749508814606,672.5749508814606,200.0,0.0,4.001970383452772,140.06896342084758,140.06896342084758,2.1549071295515017
36,140.05834472002311,36.0,64.0,2.188411636250361,871.0484799819271,671.0484799819271,200.0,0.0,3.890509575556166,140.05834472002314,140.05834472002314,2.188411636250361
37,140.04772601919296,37.0,63.0,2.222979778082428,869.5220090824077,669.5220090824077,200.0,0.0,3.785073676194429,140.047726019193,140.047726019193,2.222979778082428
38,140.03710731835656,38.0,62.0,2.2586630212638155,867.9955381828961,667.9955381828961,200.0,0.0,3.6851870346936266,140.03710731835656,140.03710731835656,2.2586630212638155
39,140.02648861750293,39.0,61.0,2.2955162068443102,866.4690672834108,666.4690672834108,200.00000000000637,-6.366462912410498e-12,3.59042278506422,140.0264886175029,140.0264886175029,2.2955162068443102
40,140.01586991670354,40.0,60.0,2.3335978319450588,864.9425963838486,664.9425963838486,200.0,0.0,3.5003967479175344,140.0158699167035,140.0158699167035,2.3335978319450588
41,140.0052512158507,41.0,59.0,2.37297035959069,863.4161254843799,663.4161254843799,200.0,0.0,3.4147622247768368,140.00525121585073,140.00525121585073,2.37297035959069
42,139.9946325150368,42.0,58.0,2.413700560604083,861.8896545848204,661.8896545848204,200.0,0.0,3.3332055360723416,139.9946325150368,139.9946325150368,2.413700560604083
43,139.98363177478248,43.0,57.0,2.4558531890312714,860.3061309374726,660.3061309374726,200.0,0.0,3.2554332970879614,139.98363177478248,139.98363177478248,2.4558531890312714
44,139.94677633613085,44.0,56.0,2.4990495774309083,854.8615357865467,654.8615357865467,200.0,0.0,3.1806085530938617,139.94677633613088,139.94677633613088,2.4990495774309083
45,139.90992089747164,45.0,55.0,2.5438167435903933,849.4169406356541,649.4169406356541,200.0,0.0,3.1091093532771765,139.90992089747164,139.90992089747164,2.5438167435903933
46,139.87306545881552,46.0,54.0,2.590241952941028,843.972345484762,643.972345484762,200.0,0.0,3.0407188143220765,139.87306545881552,139.87306545881552,2.590241952941028
47,139.83621002017617,47.0,53.0,2.638419056984456,838.5277503337657,638.5277503337657,200.0,0.0,2.975238511067573,139.83621002017617,139.83621002017617,2.638419056984456
48,139.79935458151635,48.0,52.0,2.688449126567622,833.0831551828871,633.0831551828871,200.0,0.0,2.912486553781605,139.79935458151635,139.79935458151635,2.688449126567622
49,139.76249914285052,49.0,51.0,2.7404411596637357,827.6385600320322,627.6385600320322,200.0,0.0,2.8522959008745374,139.76249914285052,139.76249914285052,2.7404411596637357
50,139.72564370423981,50.0,50.0,2.794512874084796,822.1939648808543,622.1939648808543,200.0,0.0,2.7945128740848304,139.72564370423981,139.72564370423981,2.794512874084796
51,139.68878826557608,51.0,49.0,2.850791597256655,816.7493697299797,616.7493697299797,200.00000000000443,-4.433786671143025e-12,2.7389958483446435,139.6887882655761,139.6887882655761,2.850791597256655
52,139.65193282691706,52.0,48.0,2.909415267227439,811.3047745791933,611.3047745791933,200.0,0.0,2.68561409282529,139.6519328269171,139.6519328269171,2.9094152672274394
53,139.61507738826387,53.0,47.0,2.970533561452423,805.8601794282393,605.8601794282393,200.0,0.0,2.634246743174799,139.61507738826387,139.61507738826387,2.970533561452423
54,139.57822194961935,54.0,46.0,3.034309172817812,800.4155842772435,600.4155842772435,200.0,0.0,2.5847818879559554,139.57822194961935,139.57822194961935,3.034309172817812
55,139.541366510959,55.0,45.0,3.100919255799089,794.9709891263639,594.9709891263639,200.00000000000227,-2.2737367544323206e-12,2.5371157547447183,139.541366510959,139.541366510959,3.100919255799089
56,139.50451107232695,56.0,44.0,3.1705570698256125,789.5263939753428,589.5263939753428,199.9999999999991,9.094947017729282e-13,2.4911519834344062,139.50451107232695,139.50451107232695,3.1705570698256125
57,139.46765563369195,57.0,43.0,3.2434338519463246,784.0817988243786,584.0817988243786,200.0000000000025,-2.5011104298755527e-12,2.4468009760296354,139.46765563369195,139.46765563369195,3.2434338519463246
58,139.43080019501625,58.0,42.0,3.319780957024196,778.6372036735696,578.6372036735696,199.99999999999818,1.8189894035458565e-12,2.4039793137071683,139.43080019501625,139.43080019501625,3.319780957024196
59,139.39394475637695,59.0,41.0,3.3998523111311454,773.1926085225249,573.1926085225249,199.9999999999959,4.092726157978177e-12,2.362609233158878,139.39394475637695,139.39394475637695,3.3998523111311454
60,139.35375138892337,60.0,40.0,3.4838437847230845,767.2743362029962,567.2743362029962,200.0,0.0,2.32256252314869,139.35375138892337,139.35375138892337,3.4838437847230845
61,139.26882438222646,61.0,39.0,3.5709954969801654,754.6502416533689,554.6502416533689,200.0,0.0,2.2830954816759004,139.26882438222646,139.26882438222646,3.5709954969801654
62,139.18081460011072,62.0,38.0,3.6626530157923876,741.5657736633754,541.5657736633754,200.0,0.0,2.244851848388862,139.18081460011072,139.18081460011072,3.662653015792387
63,138.96854674347517,63.0,37.0,3.7559066687425724,721.9057859555321,521.9057859555321,200.0,0.0,2.205849948309151,138.96854674347517,138.96854674347517,3.7559066687425724
64,138.7476052538947,64.0,36.0,3.8541001459415196,701.8038362873675,501.8038362873675,200.0,0.0,2.167931332092053,138.7476052538947,138.7476052538947,3.8541001459415196
65,138.52666376429968,65.0,35.0,3.957904678979991,681.7018866192113,481.7018866192114,200.0,0.0,2.1311794425276958,138.52666376429968,138.52666376429968,3.957904678979991
