,tyr:php,AG:GD=3:1,No.0glc,No.0xyl,AG:GD=2:1,No.1glc,No.1xyl,AG:GD=1:1,No.2glc,No.2xyl,AG:GD=1:2,No.3glc,No.3xyl,No.4glc,No.4xyl
21,0.01:0.031,0.10846608409644887,,,1.0698505261437958,2.9764741718466357,6.0,1.998286056173015,3.9948897430359267,6.000000000000032,1.984388897531062,4.9991381586303145,6.0,7.746118947405621,6.0
22,0.01:0.032,0.10846608409656255,,,1.0698505261437958,2.9764741718467587,6.0,1.9982428462964208,3.994889743035934,6.000000000000009,1.9843456876544678,5.000806644660044,6.0,7.747788377273477,6.0
23,0.01:0.033,0.10846608409656255,,,1.0698505261437958,2.976474171846759,6.0,1.9981996364202814,3.9948897430359382,6.000000000000006,1.9843024777783285,5.002475130691167,6.0,7.749457807141856,6.0
24,0.01:0.034,0.10846608409667624,,,1.0698505261437958,2.9764742005943083,6.0,1.9981564265436873,3.9948897430359387,5.999999999999997,1.9842592679017343,5.004143616720899,6.0,7.751127237009722,6.0
25,0.01:0.035,0.10846608409644887,,,1.0698505261437958,2.976474171846628,6.0,1.9981132166667521,3.9948897430359587,5.9999999999999885,1.9842160580249129,5.005812102749594,6.0,7.752796666877332,6.0
26,0.01:0.036000000000000004,0.10846608409644887,,,1.0698505261437958,2.9764741718466348,6.0,1.9980700067902717,3.994889714288531,6.0,1.9841728481483187,5.007480588779677,6.0,7.754466096745214,6.0
27,0.01:0.037,0.10846608409644887,,,1.0698505261437958,2.9764742005940668,6.0,1.9980267969136776,3.9948897142885014,6.0000000000000275,1.9841296382717246,5.009149079512331,6.0,7.756135526613082,6.0
28,0.01:0.038,0.10846608409644887,,,1.0698071993466556,2.97647420059406,6.0,1.9979835870367424,3.9964680349129726,6.0,1.9840864283949031,5.010817560838108,6.0,7.757804956480703,6.0
29,0.01:0.039,0.10846608409644887,,,1.069761447711926,2.9764742005940694,6.0,1.997940377160603,3.9981347169050268,5.99999999999898,1.9840432185187638,5.012486431047009,6.0,7.759474386349066,6.0
30,0.01:0.04,0.10846608409644887,,,1.0697156960777647,2.976474171846627,6.0,1.997897167284009,3.999801370150662,5.999999999998656,1.9840000086421696,5.014154917076738,6.0,7.761143816216922,6.0
31,0.01:0.041,0.10846608409667624,,,1.0696699444437172,2.9764742005943017,6.0,1.9978539574075285,4.001467994649008,5.999999999998534,1.9839567987655755,5.015823403106844,6.0,7.762813246084787,6.0
32,0.01:0.042,0.10846608409667624,,,1.0696241928105792,2.976474171846876,6.0,1.9978107475315028,4.003134647895951,6.0,1.9839135888894361,5.017491889138434,6.0,7.764482675953169,6.0
33,0.01:0.043000000000000003,0.10846608409667624,,,1.0695784411765317,2.976474171846881,6.0,1.9977675376549087,4.0048013298889344,5.999996394736974,1.983870379012842,5.01916037516817,6.0,7.766152105821035,6.0
34,0.01:0.044000000000000004,0.10846608409667624,,,1.0695326895425978,2.9764741718468732,6.0,1.9977243277779735,4.00646798313482,6.000000000000233,1.9838271691360205,5.0208289945170375,6.0,7.7678215356886415,6.0
35,0.01:0.045000000000000005,0.10846608409633518,,,1.0694869379087777,2.9764742005943674,6.0,1.9976811179013794,4.008134636380834,5.999996394737408,1.9837839592594264,5.022497451685653,6.0,7.769490965556526,6.0
36,0.01:0.046000000000000006,0.10846608409633518,,,1.069441186274389,2.976474200593931,6.0,1.9976379080247852,4.009801289626225,5.999996394736607,1.9837407493828323,5.0241659377153685,6.0,7.771160395424379,6.0
37,0.01:0.047,0.10846608409633518,,,1.0693954346404553,2.97647417184651,6.0,1.9975946981479638,4.011467942872125,5.9999963947367,1.9836975395060108,5.0258337187678945,6.0,7.772829825291998,6.0
38,0.01:0.048,0.10846608409633518,,,1.0693496830073173,2.976474171846503,6.0,1.9975514882718244,4.013134596118867,5.999996394738412,1.9836543296298714,5.027502204798919,6.0,7.7744992551603795,6.0
39,0.01:0.049,0.10846608409633518,,,1.0693039313733834,2.976474171846516,6.0,1.9975082783952303,4.014801249364769,5.999996394738507,1.9836111197532773,5.029170690828689,6.0,7.7761686850282485,6.0
40,0.01:0.05,0.10846608409633518,,,1.069258179739336,2.97647417184651,6.0,1.9974650685187498,4.016467902610533,5.999996394738389,1.9835679098766832,5.030839176858747,6.0,7.7778381148961016,6.0
41,0.01:0.051000000000000004,0.10846608409633518,,,1.0692124281046063,2.9764741718465166,6.0,1.9974218586426105,4.0181345558555375,5.999996394736895,1.9835247000005438,5.032507583160836,6.0,7.779507544764493,6.0
42,0.01:0.052000000000000005,0.10846608409633518,,,1.0691666764705587,2.9764742005939313,6.0,1.9973786487660163,4.019801209101313,5.999996394736758,1.9834814901239497,5.034176733192401,6.0,7.7811769746323645,6.0
43,0.01:0.053000000000000005,0.10846608409633518,,,1.069120924836625,2.9764741718465024,6.0,1.9973354388890812,4.0214678623472775,6.0,1.9834382802471282,5.035842165204887,6.0,7.782846404499928,6.0
44,0.01:0.054,0.10846608409633518,,,1.0690751732025774,2.976474171846516,6.0,1.997292229012487,4.023134515592957,5.999999999999941,1.983395070370534,5.037513373615562,6.0,7.784515834367825,6.0
45,0.01:0.055,0.10846608409633518,,,1.0690294215686436,2.976474200593941,6.0,1.9972490191356655,4.024801140091496,6.0,1.9833518604934852,5.039179137264305,6.0,7.786185264235197,6.0
46,0.01:0.056,0.10844876373050738,,,1.0689836699347097,2.9771770949787104,6.0,1.9972058092590714,4.02646782208474,6.000000000000122,1.9833086506171185,5.0408476232941375,6.0,7.787854694103285,6.0
47,0.01:0.057,0.10840757379878596,,,1.06893791829998,2.9788487314393164,6.0,1.997162599382932,4.028134475329753,5.999999999998625,1.983265440740979,5.042516109324469,6.0,7.7895241239716695,6.0
48,0.01:0.058,0.1083663838666098,,,1.06889216666616,2.980520396646886,6.0,1.997119389506338,4.029801099828324,6.0,1.983222230864385,5.044184595354297,6.0,7.791193553839547,6.0
49,0.01:0.059000000000000004,0.10832519393522944,,,1.068846415031885,2.982192033107896,6.0,1.9970761796298575,4.031467781821275,5.999999999998412,1.9831790209877909,5.045853081384273,6.0,7.792862983707406,6.0
50,0.01:0.060000000000000005,0.10828400400384908,,,1.068800663398747,2.983863640821461,6.0,1.9970329697537181,4.03313443506803,6.000000000000141,1.9831358111116515,5.047521567414595,6.0,7.794532413575778,6.0
51,0.01:0.061000000000000006,0.1082428140725824,,,1.0687549117648132,2.985535277282567,6.0,1.996989759877124,4.034801088313924,6.000000000000241,1.9830926012350574,5.049190053444421,6.0,7.7962018434436615,6.0
52,0.01:0.062000000000000006,0.10820162414120205,,,1.0687091601305383,2.987206913743564,6.0,1.9969465500001888,4.036467741559431,5.999999999999656,1.9830493913582359,5.050858539473902,6.0,7.797871273311239,6.0
