,fluxes,equ,kcat_MW,enz
A_PPM_reverse,6.73e-05,A_r5p_c --> A_r1p_c,730.7471783,9.209751607466454e-08
B_RMI,0.0,B_rmn_c --> B_rml_c,184.7954541,0.0
B_34dhpactex_num1,0.0,B_34dhpac_e --> B_34dhpac_p,,
B_CU2tpp,7.09e-05,B_cu2_p --> B_cu2_c,,
B_METDtex_num3,0.0,B_met__D_e --> B_met__D_p,,
B_ACMANAtex_reverse_num4,0.0,B_acmana_p --> B_acmana_e,,
B_EX_dca_e,0.0,B_dca_e --> ,,
B_FRUURt2rpp_reverse,0.0,B_fruur_c + B_h_c --> B_fruur_p + B_h_p,,
A_CRNDtex_num4,0.0,A_crn__D_e --> A_crn__D_p,,
B_RNTR1c2_num4,0.0026166,B_atp_c + 2.0 B_flxr_c + 2.0 B_h_c --> B_datp_c + 2.0 B_flxso_c + B_h2o_c,273.8868633,9.553579782809539e-06
A_PTAr_reverse_num2,0.0,A_actp_c + A_coa_c --> A_accoa_c + A_pi_c,5831.252346,0.0
B_mg2_e_con_2,8.675000000000001e-05,mg2_e --> B_mg2_e,,
B_SUCCtex_reverse_num4,0.0,B_succ_p --> B_succ_e,,
B_FEENTERR2,0.0,2.0 B_feenter_c + B_fmnh2_c --> 2.0 B_enter_c + 2.0 B_fe2_c + B_fmn_c + 2.0 B_h_c,,
A_CD2abcpp,0.0,A_atp_c + A_cd2_c + A_h2o_c --> A_adp_c + A_cd2_p + A_h_c + A_pi_c,,
B_ETOHtex_reverse_num1,0.0,B_etoh_p --> B_etoh_e,,
B_HISt2rpp_reverse,0.0,B_h_c + B_his__L_c --> B_h_p + B_his__L_p,,
B_cyan_e_con_2,0.0,cyan_e --> B_cyan_e,,
A_EX_imp_e,0.0,A_imp_e --> ,,
B_PSURItex_reverse_num3,0.0,B_psuri_p --> B_psuri_e,,
B_URAtex_num2,0.0,B_ura_e --> B_ura_p,,
A_progly_e_con_1,0.0,A_progly_e --> progly_e,,
A_HACD6_num1,0.0,A_3otdcoa_c + A_h_c + A_nadh_c --> A_3htdcoa_c + A_nad_c,197.7997293,0.0
A_ACONTb_num1,0.0,A_acon_C_c + A_h2o_c --> A_icit_c,546.6418955,0.0
