,fluxes,equ,kcat_MW,enz
B_EAR140y,0.0,B_h_c + B_nadph_c + B_tmrs2eACP_c --> B_myrsACP_c + B_nadp_c,136.7897825,0.0
B_LPLIPAL1A181pp,0.0,B_1odec11eg3p_p + B_h2o_p --> B_glyc3p_p + B_h_p + B_ocdcea_p,166.7412555,0.0
B_INSK,0.0,B_atp_c + B_ins_c --> B_adp_c + B_h_c + B_imp_c,396.5685418,0.0
A_SUCRtex_num3,0.0,A_sucr_e --> A_sucr_p,,
B_FORtex_reverse_num2,0.424165799999994,B_for_p --> B_for_e,,
B_LPLIPAL1A160pp,0.0,B_1hdecg3p_p + B_h2o_p --> B_glyc3p_p + B_h_p + B_hdca_p,3317.852195,0.0
A_FE2tex_reverse_num1,0.0,A_fe2_p --> A_fe2_e,,
B_IPPMIb_reverse,0.045053100000000006,B_3c3hmp_c --> B_2ippm_c + B_h2o_c,1702.964147,2.64556949595017e-05
B_TCYNTtex_reverse_num1,0.0,B_tcynt_p --> B_tcynt_e,,
B_MNLtex_reverse_num4,0.0,B_mnl_p --> B_mnl_e,,
B_F6PA_num1,0.0,B_f6p_c --> B_dha_c + B_g3p_c,292.1887255,0.0
B_TRE6PH,0.0,B_h2o_c + B_tre6p_c --> B_g6p_c + B_glc__D_c,491.3722528,0.0
A_3HAD140_num1,0.0,A_3hmrsACP_c --> A_h2o_c + A_tmrs2eACP_c,255.38972230000002,0.0
B_GALURtex_reverse_num4,0.0,B_galur_p --> B_galur_e,,
B_SBTtex_num1,0.0,B_sbt__D_e --> B_sbt__D_p,,
A_HACD5_reverse_num2,0.0,A_3hddcoa_c + A_nad_c --> A_3oddcoa_c + A_h_c + A_nadh_c,370.3523205,0.0
A_ACODA,0.0295792,A_acorn_c + A_h2o_c --> A_ac_c + A_orn_c,1105.1458949999999,2.6764972963139862e-05
A_RIBtex_reverse_num1,0.0,A_rib__D_p --> A_rib__D_e,,
B_TMAOtex_num3,0.0,B_tmao_e --> B_tmao_p,,
B_PANTS,6.740000000005075e-05,B_ala_B_c + B_atp_c + B_pant__R_c --> B_amp_c + B_h_c + B_pnto__R_c + B_ppi_c,1.139325235,5.915782248082195e-05
A_TMAOtex_reverse_num1,0.0,A_tmao_p --> A_tmao_e,,
A_GTPtex_reverse_num1,0.0,A_gtp_p --> A_gtp_e,,
B_15dap_e_con_2,0.0,15dap_e --> B_15dap_e,,
A_GLYALDtex_num3,0.0,A_glyald_e --> A_glyald_p,,
A_PGPP181pp_num2,0.0,A_h2o_p + A_pgp181_p --> A_pg181_p + A_pi_p,327.6500543,0.0
B_MDDCP3pp_num4,0.0,B_h2o_p + B_murein5p5p_p --> B_ala__D_p + B_murein5p4p_p,513.7056473,0.0
A_ACMUMtex_num1,0.0,A_acmum_e --> A_acmum_p,,
A_AGMt2pp,0.0,A_anhgm_p + A_h_p --> A_anhgm_c + A_h_c,642.0356436000001,0.0
B_ThDPAT,0.0,B_adp_c + B_h_c + B_thmpp_c --> B_athtp_c + B_pi_c,,
B_FUCtpp_reverse,0.0,B_fuc__L_c + B_h_c --> B_fuc__L_p + B_h_p,,
B_CH4tex_reverse,0.0,B_ch4_p --> B_ch4_e,,
B_GUAt2pp,0.0,B_gua_p + B_h_p --> B_gua_c + B_h_c,,
B_psuri_e_con_2,0.0,psuri_e --> B_psuri_e,,
B_MMETtex_num1,0.0,B_mmet_e --> B_mmet_p,,
A_PACALDt2rpp_reverse,0.0,A_h_c + A_pacald_c --> A_h_p + A_pacald_p,,
A_2AGPEAT140,0.0,A_2agpe140_c + A_atp_c + A_ttdca_c --> A_amp_c + A_pe140_c + A_ppi_c,417.6564561,0.0
B_EX_galctn__L_e,0.0,B_galctn__L_e --> ,,
B_arbtn_fe3_e_con_2_reverse,0.0,B_arbtn_fe3_e --> arbtn_fe3_e,,
A_MDDCP1pp_num3,0.0,A_h2o_p + A_murein5px4p_p --> A_ala__D_p + A_murein4px4p_p,613.0547677999999,0.0
B_NAtex_num4,0.0,B_na1_e --> B_na1_p,,
A_LEUabcpp_num2,0.0,A_atp_c + A_h2o_c + A_leu__L_p --> A_adp_c + A_h_c + A_leu__L_c + A_pi_c,,
B_ACACT4r_num2,0.0,B_accoa_c + B_occoa_c --> B_3odcoa_c + B_coa_c,513.3371747,0.0
B_GALCTNtex_reverse_num3,0.0,B_galctn__D_p --> B_galctn__D_e,,
B_AGMH,0.0,B_anhgm_c + B_h2o_c --> B_acgam_c + B_anhm_c,466.939024,0.0
B_GLCNt2rpp_num4,0.0,B_glcn_p + B_h_p --> B_glcn_c + B_h_c,,
A_PItex_num4,0.0,A_pi_e --> A_pi_p,,
B_PPAt4pp,0.0,B_na1_p + B_ppa_p --> B_na1_c + B_ppa_c,,
B_FMNRx_num1,0.0,B_fmn_c + B_h_c + B_nadh_c --> B_fmnh2_c + B_nad_c,544.09319,0.0
A_HOMtex_num1,0.0,A_hom__L_e --> A_hom__L_p,,
B_CADVtpp,0.0,B_15dap_c + B_h_p + B_lys__L_p --> B_15dap_p + B_h_c + B_lys__L_c,,
B_K2L4Aabcpp,0.0019456000000000002,B_atp_c + B_h2o_c + B_kdo2lipid4_c --> B_adp_c + B_h_c + B_kdo2lipid4_p + B_pi_c,,
B_pi_e_con_2_reverse,0.0,B_pi_e --> pi_e,,
A_DKGLCNR1_num1,0.0,A_25dkglcn_c + A_h_c + A_nadph_c --> A_2dhguln_c + A_nadp_c,323.3061338,0.0
B_2DGLCtex_num3,0.0,B_2dglc_e --> B_2dglc_p,,
A_melib_e_con_1,0.0,A_melib_e --> melib_e,,
A_GLYCTO3,0.0,A_glyclt_c + A_mqn8_c --> A_glx_c + A_mql8_c,415.82865130000005,0.0
B_ALDD2y_num3,0.0,B_acald_c + B_h2o_c + B_nadp_c --> B_ac_c + 2.0 B_h_c + B_nadph_c,98.09359069,0.0
B_EX_novbcn_e,0.0,B_novbcn_e --> ,,
A_for_e_con_1,0.0,A_for_e --> for_e,,
A_ISETACabcpp_num2,0.0,A_atp_c + A_h2o_c + A_isetac_p --> A_adp_c + A_h_c + A_isetac_c + A_pi_c,,
A_ACPPAT141,0.0,A_h_c + A_pi_c + A_tdeACP_c --> A_ACP_c + A_ttdceap_c,781.3000807,0.0
A_UACMAMO,0.0,A_h2o_c + 2.0 A_nad_c + A_uacmam_c --> 3.0 A_h_c + 2.0 A_nadh_c + A_uacmamu_c,376.5016843,0.0
A_EX_udpg_e,0.0,A_udpg_e --> ,,
B_MEOHtex_num2,0.0,B_meoh_e --> B_meoh_p,,
A_URAtpp,0.0,A_ura_c --> A_ura_p,,
B_NADDP_num1,0.0,B_h2o_c + B_nad_c --> B_amp_c + 2.0 B_h_c + B_nmn_c,179.157657,0.0
A_NDPK7_reverse_num2,0.0,A_adp_c + A_dctp_c --> A_atp_c + A_dcdp_c,167.3689645,0.0
B_IDONtex_reverse_num3,0.0,B_idon__L_p --> B_idon__L_e,,
A_MINCYCtex_reverse_num2,0.0,A_mincyc_p --> A_mincyc_e,,
B_THRt2pp_num1,0.0,B_h_p + B_thr__L_c --> B_h_c + B_thr__L_p,,
A_ATPHs,0.0,A_atp_c + A_h2o_c + A_h_c --> A_itp_c + A_nh4_c,,
B_CLPNH181pp,0.0,B_clpn181_p + B_h2o_p --> B_h_p + B_pa181_p + B_pg181_p,,
A_3NTD2pp_num2,0.0,A_3ump_p + A_h2o_p --> A_pi_p + A_uri_p,453.4562322,0.0
A_MLDCP2App_num4,0.0,A_h2o_p + A_murein5p5p_p --> A_alaala_p + A_murein5p3p_p,1853.587901,0.0
A_PFL_num2,0.0,A_coa_c + A_pyr_c --> A_accoa_c + A_for_c,333.128104,0.0
B_GALCTNLtex_reverse_num4,0.0,B_galctn__L_p --> B_galctn__L_e,,
A_H2Stex_reverse_num2,0.0,A_h2s_p --> A_h2s_e,,
B_EX_fruur_e,0.0,B_fruur_e --> ,,
B_MINCYCtex_reverse_num3,0.0,B_mincyc_p --> B_mincyc_e,,
A_KDOPS,0.003891200000000001,A_ara5p_c + A_h2o_c + A_pep_c --> A_kdo8p_c + A_pi_c,21.01664791,0.0001851484602427258
A_FE3Ri,0.0,A_fadh2_c + 2.0 A_fe3_c --> A_fad_c + 2.0 A_fe2_c + 2.0 A_h_c,1584.009444,0.0
B_FRUURtex_num1,0.0,B_fruur_e --> B_fruur_p,,
A_ACONTb_num2,0.47282038514188224,A_acon_C_c + A_h2o_c --> A_icit_c,523.2539283,0.0009036155479578121
A_LYXI,0.0,A_lyx__L_c --> A_xylu__L_c,251.32171069999998,0.0
A_4PEPTtex_num2,0.0,A_LalaDgluMdapDala_e --> A_LalaDgluMdapDala_p,,
B_OMMBLHXy,0.0,B_2ommbl_c + B_h_c + B_nadph_c + B_o2_c --> B_2omhmbl_c + B_h2o_c + B_nadp_c,501.2978756,0.0
B_ACSERtex_num3,0.0,B_acser_e --> B_acser_p,,
B_GALURtex_reverse_num1,0.0,B_galur_p --> B_galur_e,,
A_ETOHtex_reverse_num4,0.0,A_etoh_p --> A_etoh_e,,
A_DAMPtex_num2,0.0,A_damp_e --> A_damp_p,,
B_AKGtex_reverse_num2,0.0,B_akg_p --> B_akg_e,,
A_G3PCtex_reverse_num3,0.0,A_g3pc_p --> A_g3pc_e,,
A_ARGt3pp,0.0,A_arg__L_c + A_h_p --> A_arg__L_p + A_h_c,,
A_MICITDr_reverse,0.0,A_micit_c --> A_2mcacn_c + A_h2o_c,228.264318,0.0
A_3CMPtex_num4,0.0,A_3cmp_e --> A_3cmp_p,,
B_MDDEP4pp_num2,0.0,B_h2o_p + B_murein4px4px4p_p --> B_murein4px4p4p_p,629.1189737999999,0.0
B_CDGUNPD_num1,0.0,B_cdigmp_c + B_h2o_c --> B_5pg35pg_c + B_h_c,1699.877149,0.0
A_DHAtpp,0.0,A_dha_p --> A_dha_c,,
B_SUCCt2_2pp_num1,0.0,2.0 B_h_p + B_succ_p --> 2.0 B_h_c + B_succ_c,,
B_GLUDy,0.0,B_glu__L_c + B_h2o_c + B_nadp_c --> B_akg_c + B_h_c + B_nadph_c + B_nh4_c,617.9252502999999,0.0
A_DOPAtex_reverse_num2,0.0,A_dopa_p --> A_dopa_e,,
B_F6PA_num2,0.2286718349783819,B_f6p_c --> B_dha_c + B_g3p_c,2852.623424,8.016194253138892e-05
B_PSCLYStex_reverse_num1,0.0,B_psclys_p --> B_psclys_e,,
A_ACBIPGT,0.0,A_adocbip_c + A_gtp_c + A_h_c --> A_agdpcbi_c + A_ppi_c,232.5855037,0.0
B_ac_e_con_2_reverse,0.0,B_ac_e --> ac_e,,
A_DXYLONtpp_reverse,0.0,A_dxylnt_c --> A_dxylnt_p,,
A_PSSA180,0.0,A_cdpdodecg_c + A_ser__L_c --> A_cmp_c + A_h_c + A_ps180_c,427.8155524,0.0
A_2AGPGAT141,0.0,A_2agpg141_c + A_atp_c + A_ttdcea_c --> A_amp_c + A_pg141_c + A_ppi_c,119.52466090000001,0.0
A_OMMBLHXy,0.0,A_2ommbl_c + A_h_c + A_nadph_c + A_o2_c --> A_2omhmbl_c + A_h2o_c + A_nadp_c,501.2978756,0.0
A_G3PCtex_num2,0.0,A_g3pc_e --> A_g3pc_p,,
B_GLUtex_reverse_num4,0.0,B_glu__L_p --> B_glu__L_e,,
B_SERD_L_num5,0.0,B_ser__L_c --> B_nh4_c + B_pyr_c,559.3507162999999,0.0
B_UREAtex_num3,0.0,B_urea_e --> B_urea_p,,
B_GALCTNLtex_reverse_num1,0.0,B_galctn__L_p --> B_galctn__L_e,,
B_G2PPpp_num1,0.0,B_glyc2p_p + B_h2o_p --> B_glyc_p + B_pi_p,252.36740189999998,0.0
A_H2Otex_reverse_num3,0.0,A_h2o_p --> A_h2o_e,,
B_ddca_e_con_2_reverse,0.0,B_ddca_e --> ddca_e,,
B_CLPNS141pp_reverse_num2,0.0,B_clpn141_p + B_glyc_p --> 2.0 B_pg141_p,392.7125171,0.0
A_NH4tex_reverse_num2,0.0,A_nh4_p --> A_nh4_e,,
A_DCAtex_reverse_num3,0.0,A_dca_p --> A_dca_e,,
B_F6Ptex_reverse_num2,0.0,B_f6p_p --> B_f6p_e,,
A_ASPK_reverse_num1,0.0,A_4pasp_c + A_adp_c --> A_asp__L_c + A_atp_c,741.7666415,0.0
A_12ppd__S_e_con_1,0.0,A_12ppd__S_e --> 12ppd__S_e,,
A_METSOX2tex_reverse_num3,0.0,A_metsox_R__L_p --> A_metsox_R__L_e,,
B_NMNPtpp,0.0,B_nmn_p --> B_nmn_c,,
A_PItex_reverse_num2,0.0,A_pi_p --> A_pi_e,,
A_o2_e_con_1_reverse,3.4011113909111943,o2_e --> A_o2_e,,
B_FMNtex_num4,0.0,B_fmn_p --> B_fmn_e,,
A_PA160abcpp,0.0,A_atp_c + A_h2o_c + A_pa160_c --> A_adp_c + A_h_c + A_pa160_p + A_pi_c,,
A_DOGULNR,0.0,A_23doguln_c + A_h_c + A_nadh_c --> A_3dhguln_c + A_nad_c,310.7999379,0.0
B_MALDtex_num3,0.0,B_mal__D_e --> B_mal__D_p,,
A_UDPGALPpp,0.0,A_h2o_p + A_udpgal_p --> A_gal1p_p + 2.0 A_h_p + A_ump_p,248.1825256,0.0
B_X5PL3E_num2,0.0,B_xu5p__L_c --> B_ru5p__L_c,7425.190284,0.0
B_XANt2pp_num2,0.0,B_h_p + B_xan_p --> B_h_c + B_xan_c,,
A_23CCMPtex_reverse_num2,0.0,A_23ccmp_p --> A_23ccmp_e,,
A_anhgm_e_con_1,0.0,A_anhgm_e --> anhgm_e,,
B_TUNGStex_num4,0.0,B_tungs_e --> B_tungs_p,,
A_PRAIS,0.04480169999999717,A_atp_c + A_fpram_c --> A_adp_c + A_air_c + 2.0 A_h_c + A_pi_c,488.41307810000006,9.172911621097962e-05
B_MLTP3_reverse,0.0,B_g1p_c + B_malthx_c --> B_malthp_c + B_pi_c,56.88783594,0.0
B_MLDCP3App_num2,0.0,B_h2o_p + B_murein5px3p_p --> B_alaala_p + B_murein3px3p_p,333.3892292,0.0
B_THRtex_reverse_num3,0.0,B_thr__L_p --> B_thr__L_e,,
B_EAR140x,0.012762799999999998,B_h_c + B_nadh_c + B_tmrs2eACP_c --> B_myrsACP_c + B_nad_c,166.0429884,7.686443205451243e-05
A_CYTBO3_4pp,7.557199913135988,4.0 A_h_c + 0.5 A_o2_c + A_q8h2_c --> A_h2o_c + 4.0 A_h_p + A_q8_c,14260.63689,0.0005299342498815975
B_EX_cbl1_e,0.0,B_cbl1_e --> ,,
A_3OAR180_reverse,0.0,A_3hoctaACP_c + A_nadp_c --> A_3ooctdACP_c + A_h_c + A_nadph_c,115.06222109999999,0.0
B_GLNtex_num4,0.0,B_gln__L_e --> B_gln__L_p,,
A_ADEtex_reverse_num4,0.0,A_ade_p --> A_ade_e,,
B_G3PCabcpp,0.0,B_atp_c + B_g3pc_p + B_h2o_c --> B_adp_c + B_g3pc_c + B_h_c + B_pi_c,,
A_TYRPtex_num3,0.0,A_tyrp_e --> A_tyrp_p,,
B_DASYN141,0.0,B_ctp_c + B_h_c + B_pa141_c --> B_cdpdtdec7eg_c + B_ppi_c,758.5163132,0.0
B_3HAD140_num2,0.0,B_3hmrsACP_c --> B_h2o_c + B_tmrs2eACP_c,94.80644696,0.0
A_SKMtex_reverse_num3,0.0,A_skm_p --> A_skm_e,,
B_23dappa_e_con_2,0.0,23dappa_e --> B_23dappa_e,,
A_IMPtex_reverse_num1,0.0,A_imp_p --> A_imp_e,,
A_LACZ,0.0,A_h2o_c + A_lcts_c --> A_gal_c + A_glc__D_c,159.15098740000002,0.0
A_FOMETRi,0.0,A_5fthf_c + A_h_c --> A_h2o_c + A_methf_c,625.6548034,0.0
A_ADK1,0.22676169999999327,A_amp_c + A_atp_c --> 2.0 A_adp_c,4731.620453,4.7924744229266956e-05
B_LYStex_reverse_num2,0.0,B_lys__L_p --> B_lys__L_e,,
B_APH181,0.0,B_h2o_c + B_ocdceap_c --> 2.0 B_h_c + B_ocdcea_c + B_pi_c,1706.929073,0.0
B_EX_acgam1p_e,0.0,B_acgam1p_e --> ,,
A_ALKP,0.0,A_dhap_c + A_h2o_c --> A_dha_c + A_pi_c,484.67133830000006,0.0
A_FE3HOXexs,0.0,A_fe3_e + A_fe3hox_un_e --> A_fe3hox_e,,
B_ADEtex_num1,0.0,B_ade_e --> B_ade_p,,
A_3AMPtex_num4,0.0,A_3amp_e --> A_3amp_p,,
B_GDPtex_reverse_num1,0.0,B_gdp_p --> B_gdp_e,,
A_ECOAH2_num2,0.0,A_3hhcoa_c --> A_h2o_c + A_hx2coa_c,304.6748113,0.0
A_GLCURtex_reverse_num1,0.0,A_glcur_p --> A_glcur_e,,
B_PROGLYabcpp,0.0,B_atp_c + B_h2o_c + B_progly_p --> B_adp_c + B_h_c + B_pi_c + B_progly_c,,
A_EX_alaala_e,0.0,A_alaala_e --> ,,
B_PRAIS,0.04480170000000605,B_atp_c + B_fpram_c --> B_adp_c + B_air_c + 2.0 B_h_c + B_pi_c,488.41307810000006,9.17291162109978e-05
B_GLYCAtex_reverse_num2,0.0,B_glyc__R_p --> B_glyc__R_e,,
A_DADNt2pp_num1,0.0,A_dad_2_p + A_h_p --> A_dad_2_c + A_h_c,,
A_PDE4,0.0,A_35cgmp_c + A_h2o_c --> A_gmp_c + A_h_c,359.38133839999995,0.0
A_APH120,0.0,A_ddcap_c + A_h2o_c --> A_ddca_c + 2.0 A_h_c + A_pi_c,1224.582992,0.0
A_acald_e_con_1,0.0,A_acald_e --> acald_e,,
A_GLCUR1Ptex_num2,0.0,A_glcur1p_e --> A_glcur1p_p,,
B_AP4AH,0.0,B_ap4a_c + B_h2o_c --> 2.0 B_adp_c + 2.0 B_h_c,2465.076099,0.0
B_DCMPtex_reverse_num2,0.0,B_dcmp_p --> B_dcmp_e,,
A_METDtex_reverse_num1,0.0,A_met__D_p --> A_met__D_e,,
A_HIStex_num3,0.0,A_his__L_e --> A_his__L_p,,
B_GLCNtex_reverse_num2,0.0,B_glcn_p --> B_glcn_e,,
B_GDPMNH,0.0,B_gdpmann_c + B_h2o_c --> B_gdp_c + B_h_c + B_man_c,3046.709932,0.0
A_cl_e_con_1_reverse,0.00046845,cl_e --> A_cl_e,,
A_NADDP_num2,0.0,A_h2o_c + A_nad_c --> A_amp_c + 2.0 A_h_c + A_nmn_c,144.526139,0.0
A_FRUURtex_num2,0.0,A_fruur_e --> A_fruur_p,,
B_FUSAtex_reverse_num2,0.0,B_fusa_p --> B_fusa_e,,
A_FALDH2,0.0,A_hmgth_c + A_nad_c --> A_Sfglutth_c + A_h_c + A_nadh_c,372.43415810000005,0.0
B_SULabcpp_num3,0.0,B_atp_c + B_h2o_c + B_so4_p --> B_adp_c + B_h_c + B_pi_c + B_so4_c,,
A_PYDXK_num1,0.0,A_atp_c + A_pydx_c --> A_adp_c + A_h_c + A_pydx5p_c,150.7589757,0.0
A_FE2tex_num2,0.0,A_fe2_e --> A_fe2_p,,
B_EAR60y,0.035588,B_h_c + B_nadph_c + B_thex2eACP_c --> B_hexACP_c + B_nadp_c,128.3077841,0.0002773643099647296
B_PDX5POi,0.0,B_o2_c + B_pdx5p_c --> B_h2o2_c + B_pydx5p_c,2.113904205,0.0
B_BMOGDS1,0.0,B_bmoco_c + B_gtp_c + B_h_c --> B_bmoco1gdp_c + B_ppi_c,1263.134554,0.0
A_3HAD40_num2,0.03558800000000002,A_3haACP_c --> A_but2eACP_c + A_h2o_c,133.2966355,0.0002669834828651772
B_dhps_e_con_2,0.0,dhps_e --> B_dhps_e,,
B_FA100ACPHi,0.0,B_dcaACP_c + B_h2o_c --> B_ACP_c + B_dca_c + B_h_c,414.0877309,0.0
B_cgly_e_con_2,0.0,cgly_e --> B_cgly_e,,
B_dca_e_con_2_reverse,0.0,B_dca_e --> dca_e,,
A_12PPDRtpp,0.0,A_12ppd__R_p --> A_12ppd__R_c,,
B_EX_indole_e,0.0,B_indole_e --> ,,
A_GLCUR1Ptex_reverse_num2,0.0,A_glcur1p_p --> A_glcur1p_e,,
B_pydam_e_con_2,0.0,pydam_e --> B_pydam_e,,
B_MALtex_reverse_num2,0.0,B_mal__L_p --> B_mal__L_e,,
B_AMPtex_reverse_num2,0.0,B_amp_p --> B_amp_e,,
A_3mop_e_con_1_reverse,0.0,3mop_e --> A_3mop_e,,
A_CLPNS160pp_reverse_num2,0.0,A_clpn160_p + A_glyc_p --> 2.0 A_pg160_p,349.3248522,0.0
B_URIH_num3,0.0,B_h2o_c + B_uri_c --> B_rib__D_c + B_ura_c,379.5405322,0.0
A_EX_ump_e,0.0,A_ump_e --> ,,
A_3OAS160_num1,0.0127628,A_h_c + A_malACP_c + A_myrsACP_c --> A_3opalmACP_c + A_ACP_c + A_co2_c,109.12143449999999,0.00011695960613494318
B_DAGK140,0.0,B_12dgr140_c + B_atp_c --> B_adp_c + B_h_c + B_pa140_c,237.0507026,0.0
B_DAMPtex_reverse_num1,0.0,B_damp_p --> B_damp_e,,
A_EX_quin_e,0.0,A_quin_e --> ,,
B_GLCUR1Ptex_num4,0.0,B_glcur1p_e --> B_glcur1p_p,,
B_MSO3tex_num4,0.0,B_mso3_e --> B_mso3_p,,
A_TARTRDtex_num1,0.0,A_tartr__D_e --> A_tartr__D_p,,
A_ORNtex_num1,0.0,A_orn_e --> A_orn_p,,
B_EX_sucr_e,0.0,B_sucr_e --> ,,
A_3AMPtex_reverse_num2,0.0,A_3amp_p --> A_3amp_e,,
B_NDPK5_num2,0.0,B_atp_c + B_dgdp_c --> B_adp_c + B_dgtp_c,159.48758999999998,0.0
B_RBK_L1,0.0,B_atp_c + B_rbl__L_c --> B_adp_c + B_h_c + B_ru5p__L_c,216.72241430000003,0.0
B_NDPK8_reverse_num1,0.0,B_adp_c + B_datp_c --> B_atp_c + B_dadp_c,611.2899576,0.0
B_CRNDCAL2,0.0,B_atp_c + B_coa_c + B_crn__D_c --> B_adp_c + B_crnDcoa_c + B_pi_c,345.23105960000004,0.0
A_GALURtex_num4,0.0,A_galur_e --> A_galur_p,,
A_MLDEP2pp,0.0,A_h2o_p + A_murein5px3p_p --> A_murein5p3p_p,495.9959915,0.0
B_MDDCP2pp_num6,0.0,B_h2o_p + B_murein5px4px4p_p --> B_ala__D_p + B_murein4px4px4p_p,633.223702,0.0
A_PDE1_num1,0.0,A_camp_c + A_h2o_c --> A_amp_c + A_h_c,684.7944915,0.0
A_MLTGY3pp_num1,0.0,A_murein3p3p_p --> 2.0 A_anhgm3p_p,534.4554047,0.0
A_PYDXNtex_reverse_num1,0.0,A_pydxn_p --> A_pydxn_e,,
A_OROTtex_reverse_num2,0.0,A_orot_p --> A_orot_e,,
A_NTD9_num4,0.0,A_gmp_c + A_h2o_c --> A_gsn_c + A_pi_c,358.0296928,0.0
B_URATEtex_num3,0.0,B_urate_e --> B_urate_p,,
B_SQGH,0.0,B_h2o_c + B_sqg_c --> B_glyc_c + B_sq_c,406.1662335,0.0
B_G1PPpp_num2,0.0,B_g1p_p + B_h2o_p --> B_glc__D_p + B_pi_p,349.9346915,0.0
B_TMDPP_reverse,0.0,B_2dr1p_c + B_thym_c --> B_pi_c + B_thymd_c,129.0564073,0.0
B_CYTD,0.0,B_cytd_c + B_h2o_c + B_h_c --> B_nh4_c + B_uri_c,1045.413274,0.0
B_ECOAH1_num2,0.0,B_3hbcoa_c --> B_b2coa_c + B_h2o_c,271.058866,0.0
B_DDGLCNtex_num3,0.0,B_2ddglcn_e --> B_2ddglcn_p,,
B_HACD6_reverse_num2,0.0,B_3htdcoa_c + B_nad_c --> B_3otdcoa_c + B_h_c + B_nadh_c,374.78882400000003,0.0
A_G3PItex_num2,0.0,A_g3pi_e --> A_g3pi_p,,
B_duri_e_con_2,0.0,duri_e --> B_duri_e,,
A_6D6SFK,0.0,A_atp_c + A_sf_c --> A_adp_c + A_h_c + A_sfp_c,757.5998992000001,0.0
B_MDDEP4pp_num3,0.0,B_h2o_p + B_murein4px4px4p_p --> B_murein4px4p4p_p,436.8103279,0.0
A_ASPK_reverse_num3,0.0,A_4pasp_c + A_adp_c --> A_asp__L_c + A_atp_c,1358.5731130000001,0.0
A_TDP,0.0,A_h2o_c + A_thmpp_c --> A_h_c + A_pi_c + A_thmmp_c,9054.231155,0.0
A_LCTStex_num4,0.0,A_lcts_e --> A_lcts_p,,
A_pser__L_e_con_1,0.0,A_pser__L_e --> pser__L_e,,
B_RNTR2c2_num2,0.0,2.0 B_flxr_c + B_gtp_c + 2.0 B_h_c --> B_dgtp_c + 2.0 B_flxso_c + B_h2o_c,124.22699159999999,0.0
B_MICITDr_reverse,0.0,B_micit_c --> B_2mcacn_c + B_h2o_c,228.264318,0.0
B_pydxn_e_con_2_reverse,0.0,B_pydxn_e --> pydxn_e,,
B_2DDARAA_reverse_num2,0.0,B_gcald_c + B_pyr_c --> B_2ddara_c,74.45657349,0.0
B_ACALDtex_num2,0.0,B_acald_e --> B_acald_p,,
A_COBALT2t3pp_num1,0.0,A_cobalt2_c + A_h_p --> A_cobalt2_p + A_h_c,,
B_PItex_num1,0.09646060000001166,B_pi_e --> B_pi_p,,
B_h2o2_e_con_2_reverse,0.0,B_h2o2_e --> h2o2_e,,
A_TREtex_num1,0.0,A_tre_e --> A_tre_p,,
A_DINStex_reverse_num4,0.0,A_din_p --> A_din_e,,
A_DHNPTE,0.0,A_dhnpt_c --> A_dhmpt_c,179.0888195,0.0
A_VALabcpp,0.0,A_atp_c + A_h2o_c + A_val__L_p --> A_adp_c + A_h_c + A_pi_c + A_val__L_c,,
B_UPPRT,0.0,B_prpp_c + B_ura_c --> B_ppi_c + B_ump_c,150.1888418,0.0
A_ARBabcpp,0.0,A_arab__L_p + A_atp_c + A_h2o_c --> A_adp_c + A_arab__L_c + A_h_c + A_pi_c,,
A_MINCYCtpp_num1,0.0,A_h_p + A_mincyc_p --> A_h_c + A_mincyc_e,,
A_HACD2_num1,0.0,A_3ohcoa_c + A_h_c + A_nadh_c --> A_3hhcoa_c + A_nad_c,245.21440800000002,0.0
B_RNTR3c2_num3,0.0,B_ctp_c + 2.0 B_flxr_c + 2.0 B_h_c --> B_dctp_c + 2.0 B_flxso_c + B_h2o_c,143.064536,0.0
B_FUSAtex_num2,0.0,B_fusa_e --> B_fusa_p,,
A_LALADGLUtex_reverse_num1,0.0,A_LalaDglu_p --> A_LalaDglu_e,,
B_3UMPtex_num1,0.0,B_3ump_e --> B_3ump_p,,
A_FUMt1pp,0.0,A_fum_p --> A_fum_c,,
A_RNTR1c2_num2,0.0,A_atp_c + 2.0 A_flxr_c + 2.0 A_h_c --> A_datp_c + 2.0 A_flxso_c + A_h2o_c,203.07277309999998,0.0
A_PGAMT,0.0,A_gam1p_c --> A_gam6p_c,757.9458412,0.0
A_FALDtpp,0.0,A_fald_p --> A_fald_c,,
A_AGPAT120,0.0,A_1ddecg3p_c + A_ddcaACP_c --> A_ACP_c + A_pa120_c,338.76713650000005,0.0
B_METNA,0.0,B_accoa_c + B_met__L_c --> B_acmet_c + B_coa_c + B_h_c,255.84240789999998,0.0
A_lipa_e_con_1,0.0,A_lipa_e --> lipa_e,,
B_GLYtex_reverse_num4,0.0,B_gly_p --> B_gly_e,,
B_12PPDRtex_reverse_num2,0.0,B_12ppd__R_p --> B_12ppd__R_e,,
B_URAt2pp_num2,0.0,B_h_p + B_ura_p --> B_h_c + B_ura_c,,
B_SELGTHR,0.0,4.0 B_gthrd_c + 2.0 B_h_c + B_slnt_c --> B_dgslnt_c + B_gthox_c + 3.0 B_h2o_c,,
A_udpacgal_e_con_1,0.0,A_udpacgal_e --> udpacgal_e,,
A_RBFSb,4.460000000000001e-05,2.0 A_dmlz_c --> A_4r5au_c + A_ribflv_c,1.535515187,2.9045626104901568e-05
