,flux,formula,kcat_MW,enz_useUPBCe
B_cs1_e_con_2,0.0,cs1_e --> B_cs1_e,,
A_PROGLYtex_num4,1000.0,A_progly_e --> A_progly_p,,
A_pser__L_e_con_1,0.0,A_pser__L_e --> pser__L_e,,
A_H2Otpp_num2,0.0,A_h2o_p --> A_h2o_c,,
A_MAN6Ptex_reverse_num2,1000.0,A_man6p_p --> A_man6p_e,,
A_TYRTA_num1,1000.0,A_akg_c + A_tyr__L_c --> A_34hpp_c + A_glu__L_c,,
B_12PPDStex_num1,0.0,B_12ppd__S_e --> B_12ppd__S_p,,
B_5DOAN,2.25e-05,B_dad_5_c + B_h2o_c --> B_5drib_c + B_ade_c,0.739099817,3e-05
A_LYXtex_num2,1000.0,A_lyx__L_e --> A_lyx__L_p,,
B_NO2t2rpp_reverse_num2,0.0,B_h_c + B_no2_c --> B_h_p + B_no2_p,,
B_HMPK1_num1,0.0,B_4ahmmp_c + B_atp_c --> B_4ampm_c + B_adp_c + B_h_c,139.0653359,0.0
A_TUNGSabcpp,0.0,A_atp_c + A_h2o_c + A_tungs_p --> A_adp_c + A_h_c + A_pi_c + A_tungs_c,,
A_NTD10pp_num2,0.0,A_h2o_p + A_xmp_p --> A_pi_p + A_xtsn_p,274.0669912,0.0
B_ALAtex_reverse_num1,1000.0,B_ala__L_p --> B_ala__L_e,,
B_DSBDR_num2,0.0,B_dsbdox_c + B_trdrd_c --> B_dsbdrd_c + B_trdox_c,505.4359648,0.0
B_BALAtex_reverse_num4,1000.0,B_ala_B_p --> B_ala_B_e,,
B_ACP1_FMN_num1,0.0,B_fmn_c + B_h2o_c --> B_pi_c + B_ribflv_c,772.688189,0.0
A_ADK4_reverse,0.0,A_adp_c + A_idp_c --> A_amp_c + A_itp_c,1169.51223,0.0
B_G1Ptex_num2,0.0,B_g1p_e --> B_g1p_p,,
A_peamn_e_con_1,0.0,A_peamn_e --> peamn_e,,
B_GLUSy,0.0,B_akg_c + B_gln__L_c + B_h_c + B_nadph_c --> 2.0 B_glu__L_c + B_nadp_c,157.331558,0.0
A_MANtex_num1,0.0,A_man_e --> A_man_p,,
B_MEPNabcpp,0.0,B_atp_c + B_h2o_c + B_mepn_p --> B_adp_c + B_h_c + B_mepn_c + B_pi_c,,
B_mnl_e_con_2,0.0,mnl_e --> B_mnl_e,,
B_ile__L_e_con_2,0.0,ile__L_e --> B_ile__L_e,,
B_DDGLCNtex_num3,0.0,B_2ddglcn_e --> B_2ddglcn_p,,
B_CSNtex_num2,1000.0,B_csn_e --> B_csn_p,,
A_NADK,4.4700000000230666e-05,A_atp_c + A_nad_c --> A_adp_c + A_h_c + A_nadp_c,20.266297100000003,2e-06
A_METSOXR2_num2,0.0,A_metsox_R__L_c + A_trdrd_c --> A_h2o_c + A_met__L_c + A_trdox_c,305.1726877,0.0
A_CYTDtex_reverse_num3,0.0,A_cytd_p --> A_cytd_e,,
A_F6Ptex_reverse_num4,0.0,A_f6p_p --> A_f6p_e,,
A_2AGPG120tipp,0.0,A_2agpg120_p --> A_2agpg120_c,,
B_ANHGMtex_num4,0.0,B_anhgm_e --> B_anhgm_p,,
A_URItex,0.0,A_uri_e --> A_uri_p,,
B_EX_pydam_e,0.0,B_pydam_e --> ,,
A_SLNTtex_reverse_num1,0.0,A_slnt_p --> A_slnt_e,,
B_TREtex_reverse_num3,1000.0,B_tre_p --> B_tre_e,,
B_fe3hox_e_con_2_reverse,0.0,B_fe3hox_e --> fe3hox_e,,
A_BUTt2rpp_reverse,0.0,A_but_c + A_h_c --> A_but_p + A_h_p,,
B_GAMtex_reverse_num4,0.0,B_gam_p --> B_gam_e,,
A_ACACT7r_num1,0.0,A_accoa_c + A_tdcoa_c --> A_3ohdcoa_c + A_coa_c,782.0622237000001,0.0
B_FEOXAMR3,0.0,2.0 B_feoxam_c + B_rbflvrd_c --> 2.0 B_fe2_c + 2.0 B_feoxam_un_c + 2.0 B_h_c + B_ribflv_c,1916.598655,0.0
B_OPMEACPS,2e-07,B_gmeACP_c + B_h_c + B_malACP_c --> B_ACP_c + B_co2_c + B_opmeACP_c,0.001013768,0.000197
B_23cump_e_con_2,0.0,23cump_e --> B_23cump_e,,
B_PSERtex_num3,1000.0,B_pser__L_e --> B_pser__L_p,,
A_mn2_e_con_1_reverse,0.003178600000865117,mn2_e --> A_mn2_e,,
A_DDGLCNtex_num3,0.0,A_2ddglcn_e --> A_2ddglcn_p,,
B_AKGt2rpp_reverse,1000.0,B_akg_c + B_h_c --> B_akg_p + B_h_p,,
B_POR5_reverse_num1,0.0,B_accoa_c + B_co2_c + 2.0 B_flxr_c + B_h_c --> B_coa_c + 2.0 B_flxso_c + B_pyr_c,356.6240552,0.0
A_CLPNH181pp,0.0,A_clpn181_p + A_h2o_p --> A_h_p + A_pa181_p + A_pg181_p,,
B_GALBDtex_num4,1000.0,B_gal_bD_e --> B_gal_bD_p,,
B_TMAOtex_reverse_num1,1000.0,B_tmao_p --> B_tmao_e,,
A_PGSA181,0.0,A_cdpdodec11eg_c + A_glyc3p_c --> A_cmp_c + A_h_c + A_pgp181_c,471.8219922,0.0
B_MDDEP4pp_num2,0.0,B_h2o_p + B_murein4px4px4p_p --> B_murein4px4p4p_p,629.1189737000001,0.0
A_MELIBtex_reverse_num3,0.0,A_melib_p --> A_melib_e,,
A_TTRCYCtex_reverse_num1,1000.0,A_ttrcyc_p --> A_ttrcyc_e,,
A_TCYNTtex_num2,0.0,A_tcynt_e --> A_tcynt_p,,
B_HACD8_num2,0.0,B_3ohodcoa_c + B_h_c + B_nadh_c --> B_3hodcoa_c + B_nad_c,391.5971475,0.0
A_EX_feoxam_e,0.0,A_feoxam_e --> ,,
A_INDOLEt2rpp,0.0,A_h_p + A_indole_p --> A_h_c + A_indole_c,,
B_AIRC2,0.04477940000000173,B_air_c + B_atp_c + B_hco3_c --> B_5caiz_c + B_adp_c + B_h_c + B_pi_c,7024.6394549999995,6e-06
B_SERtex_num3,0.0,B_ser__L_e --> B_ser__L_p,,
